good better rough JJ_JJR rougher
better good rougher JJR_JJ rough
good best mean JJ_JJS meanest
best good meanest JJS_JJ mean
good better heavy JJ_JJR heavier
better good heavier JJR_JJ heavy
good best heavy JJ_JJS heaviest
best good heaviest JJS_JJ heavy
best better heaviest JJS_JJR heavier
better best heavier JJR_JJS heaviest
high highest bad JJ_JJS worst
highest high worst JJS_JJ bad
highest higher worst JJS_JJR worse
higher highest worse JJR_JJS worst
high higher sad JJ_JJR sadder
higher high sadder JJR_JJ sad
high highest sad JJ_JJS saddest
highest high saddest JJS_JJ sad
highest higher saddest JJS_JJR sadder
higher highest sadder JJR_JJS saddest
high higher wild JJ_JJR wilder
higher high wilder JJR_JJ wild
high highest wild JJ_JJS wildest
highest high wildest JJS_JJ wild
highest higher wildest JJS_JJR wilder
higher highest wilder JJR_JJS wildest
high higher strict JJ_JJR stricter
higher high stricter JJR_JJ strict
high highest strict JJ_JJS strictest
highest high strictest JJS_JJ strict
highest higher strictest JJS_JJR stricter
higher highest stricter JJR_JJS strictest
high higher narrow JJ_JJR narrower
higher high narrower JJR_JJ narrow
high highest narrow JJ_JJS narrowest
highest high narrowest JJS_JJ narrow
highest higher narrowest JJS_JJR narrower
higher highest narrower JJR_JJS narrowest
great greater early JJ_JJR earlier
greater great earlier JJR_JJ early
great greatest early JJ_JJS earliest
greatest great earliest JJS_JJ early
greatest greater earliest JJS_JJR earlier
greater greatest earlier JJR_JJS earliest
great greater fat JJ_JJR fatter
greater great fatter JJR_JJ fat
great greater full JJ_JJR fuller
greater great fuller JJR_JJ full
great greatest full JJ_JJS fullest
greatest great fullest JJS_JJ full
greatest greater fullest JJS_JJR fuller
greater greatest fuller JJR_JJS fullest
low lower tough JJ_JJR tougher
lower low tougher JJR_JJ tough
low lowest tough JJ_JJS toughest
lowest low toughest JJS_JJ tough
lowest lower toughest JJS_JJR tougher
lower lowest tougher JJR_JJS toughest
low lower gentle JJ_JJR gentler
lower low gentler JJR_JJ gentle
low lowest gentle JJ_JJS gentlest
lowest low gentlest JJS_JJ gentle
lowest lower gentlest JJS_JJR gentler
lower lowest gentler JJR_JJS gentlest
low lowest short JJ_JJS shortest
lowest low shortest JJS_JJ short
lowest lower shortest JJS_JJR shorter
lower lowest shorter JJR_JJS shortest
low lower soft JJ_JJR softer
lower low softer JJR_JJ soft
low lowest soft JJ_JJS softest
lowest low softest JJS_JJ soft
lowest lower softest JJS_JJR softer
lower lowest softer JJR_JJS softest
low lowest old JJ_JJS oldest
lowest low oldest JJS_JJ old
lowest lower oldest JJS_JJR older
lower lowest older JJR_JJS oldest
large larger rich JJ_JJR richer
larger large richer JJR_JJ rich
large largest rich JJ_JJS richest
largest large richest JJS_JJ rich
largest larger richest JJS_JJR richer
larger largest richer JJR_JJS richest
large larger weak JJ_JJR weaker
larger large weaker JJR_JJ weak
large largest weak JJ_JJS weakest
largest large weakest JJS_JJ weak
largest larger weakest JJS_JJR weaker
larger largest weaker JJR_JJS weakest
large larger pretty JJ_JJR prettier
larger large prettier JJR_JJ pretty
large largest pretty JJ_JJS prettiest
largest large prettiest JJS_JJ pretty
largest larger prettiest JJS_JJR prettier
larger largest prettier JJR_JJS prettiest
large larger cool JJ_JJR cooler
larger large cooler JJR_JJ cool
large largest cool JJ_JJS coolest
largest large coolest JJS_JJ cool
largest larger coolest JJS_JJR cooler
larger largest cooler JJR_JJS coolest
large larger lucky JJ_JJR luckier
larger large luckier JJR_JJ lucky
large largest lucky JJ_JJS luckiest
largest large luckiest JJS_JJ lucky
largest larger luckiest JJS_JJR luckier
larger largest luckier JJR_JJS luckiest
old older light JJ_JJR lighter
older old lighter JJR_JJ light
old oldest light JJ_JJS lightest
oldest old lightest JJS_JJ light
